P_mel_1	P_mel_2	P_mel_3	F1_mel_1	F1_mel_2	F1_mel_3	P_sim_1	P_sim_2	P_sim_3	F1_sim_1	F1_sim_2	F1_sim_3	F1_1	F1_2	F1_3
ca	336.942024852658	337.184291611987	281.766284745205	414.102982977335	390.413731625252	296.609641562108	298.85053649606	438.848141255605	376.260602891814	324.100731067942	365.548402032836	247.556518653819	361.445298530222	369.776059507063	263.730580589262
cact	340.557282630047	326.501224947053	392.204341266101	340.380103432128	344.219740478753	449.750489107762	303.84525298346	376.594727172061	326.752628827102	436.350252559765	400.290605531824	472.460806842583	379.941433209807	363.906598245046	446.855078683883
cad	0	0	1.79088740304155	1.56857190521718	0	0	1.66490549579978	0	0	0	0	0	0.770672278316038	0	0
Cam	3455.46338362844	3319.09527446176	3351.34729355843	4081.4240973751	4005.46607102549	4183.16315137865	2420.77259089288	2374.08390251938	2477.52047355268	2526.404723154	2347.36453206209	2512.77956515935	3236.82356892736	3112.28183418445	3246.15563289098
capu	464.199098616752	450.691874926913	367.131917623519	318.420096759087	207.127895785916	125.736695879589	228.92450567247	264.38486968814	263.806776087682	156.516938418177	151.053058691255	114.879168787066	232.743028051444	175.350155202754	116.604915453413
Cat	642.069781264293	548.174858244438	651.883014707126	740.365939262508	682.47896597086	733.464059297605	563.570510328226	567.197772761185	640.067378979496	627.648732848648	601.191173591193	668.240798719132	669.714209856637	628.032355035805	679.282326265518
Pka-C1	1444.65700784466	1390.80174144113	1091.24739091999	956.828862182478	1004.34677524969	830.184594589597	2312.55373366589	2636.16309020442	2461.96082456091	1746.981989415	1670.64682912527	1427.09051929849	1321.70295731201	1305.95513079875	1093.26890529139
Pka-C2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CecB	0	0	0	0	0	0	0	0	0	0	0	1.61801646178967	0	0	0.782583325190689
Cp190	677.499307482705	723.777766549295	661.434414190014	745.071654978159	725.692699624037	786.660353708201	647.648237866114	780.857638381252	656.334284743616	687.725941534413	675.207172349908	635.880469483339	701.311773267595	685.25960234047	689.455909492997
Cf2	541.565615052878	723.777766549295	625.019703661503	492.531578238194	542.406863784701	577.099193908885	283.866387033863	387.354576519834	331.703426233573	284.576251669412	395.759013771087	360.817670979096	380.712105488123	459.28534375282	454.68091193579
salr	17.3532373314674	14.6892166642846	9.55139948288829	1.56857190521718	7.45064373330633	14.5080802937988	0.83245274789989	2.30568200309425	1.41451354470607	0	0	0	0.770672278316038	3.66841328876054	7.0432499267162
cg	605.917203490403	701.07624988631	656.65871444857	632.134477802523	563.268666237959	578.711202830418	515.288250950032	670.953462900426	555.903823069485	599.191107681707	498.47509368114	553.361629932066	602.665721643142	519.447321688493	548.590910958673
Col4a1	357.910519961515	509.448741584052	383.249904250893	592.920180172093	697.380253437473	630.295488319481	206.448281479173	467.284885960434	345.848561680634	725.669441757001	687.291417045208	650.442617639446	645.052696950524	677.189093105197	620.588576876216
ChAT	0	1.33538333311678	0.596962467680518	0	1.49012874666127	0	0	0	0	1.58097917594118	0	0	0.770672278316038	0.733682657752109	0
chif	477.214026615353	481.405691588599	359.968368011353	478.414431091239	602.012013651152	446.526471264696	273.876954059064	524.92693603779	347.970331997693	480.617669486118	406.332727879475	427.156345912472	469.339417494467	493.768428667169	423.377578928163
chic	870.55407279528	847.300724862597	827.986942672879	825.068822144235	795.728750717116	855.976737334128	1076.36140303456	846.953855803287	1019.86426573308	768.355879507413	758.286354630098	831.660461359889	779.920345655831	760.095233431185	817.79957482427
ck	1313.0616247477	1079.65742482492	777.842095387715	905.065989310311	971.563942823146	656.087631064012	793.327468748595	1034.48265872162	919.433804058944	1046.60821447306	1028.67132968744	718.399309034612	954.862952833572	977.998982783561	665.978409737276
cl	363.694932405337	349.202741610038	430.409939197654	425.082986313855	438.097851518412	481.990667538426	488.649763017235	348.92654313493	398.185562834758	417.378502448471	424.459094922425	525.855350081642	412.309668899081	421.867528207463	488.33199491899
eya	0	0.66769166655839	1.79088740304155	18.8228628626061	2.98025749332253	9.67205352919919	0	3.07424267079233	1.41451354470607	1.58097917594118	10.5737141083878	3.23603292357933	10.0187396181085	6.60314391976898	6.26066660152551
clt	103.396372433326	146.892166642846	105.065394311771	117.642892891288	90.8978535463373	166.036918917919	82.4128220420891	93.7644014591661	89.8216100888353	74.3060212692354	89.1213046278402	85.7548724748523	94.0220179545567	88.0419189302531	122.082998729747
cn	3.61525777738904	3.33845833279195	2.98481233840259	9.41143143130307	25.3321886932415	4.8360267645996	14.1516967142981	20.7511380278482	21.9249599429441	15.8097917594118	28.7000811513384	22.6522304650553	12.3307564530566	26.4125756790759	13.3039165282417
cni	87.4892382128147	74.7814666545397	80.58993313687	89.4085985973791	128.151072212869	111.228615585791	60.769050596692	46.882200729583	65.7748798288322	47.4293752782354	64.9528152372394	66.3386749333763	67.0484882134953	94.6450628500221	86.0841657709758
cort	0	0	0	3.13714381043436	1.49012874666127	0	1.66490549579978	0	0.707256772353034	0	0	9.708098770738	1.54134455663208	0.733682657752109	4.69549995114413
cos	73.0282071032585	68.7722416555142	69.2476462509401	73.7228795452073	68.5459223464183	74.1524103905271	61.6015033445919	79.1617487729025	69.3111636905973	79.048958797059	63.4422846503269	48.54049385369	74.7552109966557	64.5640738821856	59.4763327144923
Cp15	2.16915466643342	2.67076666623356	0	0	0	0	0	0	0	0	0	0	0	0	0
Cp16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cp19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
crc	16258.537276474	14068.2634143853	13500.9031690626	9549.46575896218	8696.39136551515	8695.17612275007	17993.4661458561	18002.7650801599	17970.6873287182	20057.8828051657	20570.405532575	19194.5292862108	14469.3720253836	14273.0624239095	13505.0404428157
cta	441.78450039694	440.676499928537	429.216014262293	403.122979640815	396.374246611897	443.30245342163	576.057301546724	609.46860948458	601.168256500079	676.659087302825	644.996560611657	713.545259649243	527.910510646486	508.442081822211	560.329660836533
cv-2	7.23051555477807	4.67384166590873	6.5665871444857	21.9600066730405	16.3914162132739	46.7482587244628	37.460373655495	43.8079580587907	25.4612438047092	26.876645991	22.6579588036882	11.3261152325277	23.8908406277972	19.0757491015548	28.1729997068648
CycA	13.7379795540783	15.356908330843	20.8936863688181	6.27428762086871	11.9210299732901	0	69.9260308235908	50.7250040680735	55.1660282435367	75.8870004451766	77.0370599325398	63.102642009797	40.074958472434	43.2872768073744	30.5207496824369
CycB	0.723051555477807	0	0	0	0	0	0.83245274789989	0.768560667698083	0	0	0	3.23603292357933	0	0	1.56516665038138
Cyt-b5-r	20.9684951088564	9.34768333181746	17.9088740304156	26.665722388692	38.7433474131929	14.5080802937988	21.6437714453971	19.2140166924521	28.2902708941214	15.8097917594118	37.7632646728136	32.3603292357933	20.808151514533	37.4178155453576	22.69491643053
D	0.723051555477807	0	2.38784987072207	1.56857190521718	2.98025749332253	12.8960713722656	0.83245274789989	3.84280333849041	4.2435406341182	1.58097917594118	4.53159176073764	1.61801646178967	1.54134455663208	3.66841328876054	7.0432499267162
D1	1126.51432343442	1103.02663315446	1036.92380636106	1094.86318984159	1066.93218260947	1070.37392389804	1084.68593051356	1072.14213143883	1052.39807726131	1574.65525923741	1395.73026230719	1543.58770454734	1305.51883946737	1203.23955871346	1266.21982015853
Dab	720.882400811374	791.214624871692	781.423870193798	707.425929252947	818.080681917035	738.300086062205	207.280734227073	534.149664050167	309.071209518276	618.162857793001	687.291417045208	694.129062107767	648.906058342104	736.617388383117	694.151409444141
Sap-r	10945.554446823	9995.3442483791	9735.26392293389	12002.7122187218	13089.2909106726	13316.8057007858	9852.0782713952	12107.9047589156	9651.93317230185	11142.7412320334	11469.458746427	11861.67868138	11328.8824912458	12015.5208860063	12202.0392063732
Ddc	4.33830933286684	4.00614999935034	5.37266220912466	7.84285952608589	7.45064373330633	6.44803568613279	194.793943008574	156.786376210409	173.985165998846	98.0207089083531	90.6318352147527	106.789086478118	51.6350426471746	47.6893727538871	54.7808327633482
SmF	118.58045509836	112.17219998181	99.6927321026466	122.34860860694	75.9965660797246	112.840624507324	101.559235243787	59.1791714127524	94.7724074953066	77.4679796211178	113.289794018441	140.767432175701	97.8753793461369	92.4440148767657	122.865582054938
Dfd	2.16915466643342	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dhod	663.038276373149	632.971699897354	638.152877950474	581.940176835573	551.347636264669	638.355532927147	334.646004655756	292.053053725271	332.410683005926	426.864377504118	436.543339617726	516.147251310904	494.000930400581	483.49687145864	559.547077511342
Hr3	0.723051555477807	0	2.38784987072207	0	2.98025749332253	4.8360267645996	0.83245274789989	1.53712133539617	2.82902708941214	1.58097917594118	0	0	0.770672278316038	1.46736531550422	2.34774997557207
dib	2.89220622191123	0	0	0	1.49012874666127	3.2240178430664	0	0	0	1.58097917594118	0	1.61801646178967	0.770672278316038	0.733682657752109	2.34774997557207
ect	12.2918764431227	10.0153749983759	21.4906488364987	6.27428762086871	2.98025749332253	6.44803568613279	39.1252791512948	13.0655313508674	14.1451354470607	22.1337084631765	33.231672912076	14.562148156107	13.8721010096887	17.6083837860506	10.173583227479
Dip-B	543.011718163833	472.72569992334	574.277893908659	779.580236892937	779.337334503843	725.404014689939	1361.89269556422	1056.77091808486	968.234521351304	542.275857347824	521.133052484828	606.756173171125	647.364713785472	636.836546928831	645.631243282318
Dip-C	817.7713092454	719.771616549944	732.472947843996	727.81736402077	751.024888317279	815.676514295798	851.599161101587	782.394759716648	809.809004344224	660.849295543413	815.686516932774	648.824601177656	679.732949474746	765.964694693202	709.803075947955
Dl	2.16915466643342	2.67076666623356	1.79088740304155	3.13714381043436	1.49012874666127	0	1.66490549579978	2.30568200309425	0.707256772353034	4.74293752782354	0	0	3.85336139158019	0.733682657752109	0
Lar	211.854105754998	156.907541641222	125.959080680589	230.580070066925	181.795707092675	156.36486538872	97.3969715042871	179.074635573653	111.746570031779	147.03106336253	157.095181038905	127.823300481384	184.961346795849	165.812280651977	137.734665233561
Cyp6a2	12.2918764431227	8.67999166525907	25.0724236425818	6.27428762086871	31.2927036798866	38.6882141167968	38.2928264033949	32.2795480433195	28.2902708941214	61.658187861706	90.6318352147527	74.4287572423247	33.1389079675896	59.4282952779208	54.7808327633482
DNaseII	1212.55745853628	1151.10043314666	1100.79879040288	72.1543076399902	131.131329706191	120.90066911499	620.177297185418	552.595120074921	363.529980989459	169.164771825706	157.095181038905	179.599827258653	117.912858582354	140.867070288405	145.560498485468
Pka-C3	112.796042654538	179.609058304207	161.17986627374	210.188635299102	193.716737065965	185.381025976318	242.243749638868	433.468216581719	249.661640640621	399.987731513118	312.679831490897	338.16544051404	298.250171708307	247.251055662461	253.556997361783
dpp	191.608662201619	231.689008295761	194.012801996168	166.268621953021	156.463518399433	135.408749408789	132.359986916083	265.921991023537	207.226234299439	140.707146658765	120.842446953004	158.565613255387	150.281094271627	135.73129168414	142.430165184705
Dr	162.686599982507	163.584458306806	183.267477577919	188.228628626061	183.285835839336	196.66508842705	165.658096832078	234.411003647915	215.713315567675	275.090376613765	196.368976298631	168.273712026125	226.577649824915	185.621712411284	176.863831493096
Dsk	0	0	0	0	0	1.6120089215332	0.83245274789989	3.07424267079233	6.36531095117731	1.58097917594118	3.02106117382509	0	0.770672278316038	1.46736531550422	0.782583325190689
dsx	412.13938662235	475.396466589574	510.999872334524	428.220130124289	342.729611732091	306.281695091308	269.714690319564	373.520484501268	386.162197704757	260.861564030295	303.616647969422	150.475530946439	337.554457902425	316.217225491159	221.471081028965
e	0	4.67384166590873	2.98481233840259	0	2.98025749332253	4.8360267645996	10.8218857226986	3.84280333849041	8.48708126823641	3.16195835188236	0	0	1.54134455663208	1.46736531550422	2.34774997557207
bsh	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ea	0	2.00307499967517	2.38784987072207	1.56857190521718	0	0	1.66490549579978	3.07424267079233	0	1.58097917594118	3.02106117382509	9.708098770738	1.54134455663208	1.46736531550422	4.69549995114413
E(bx)	1104.82277677009	936.103716514863	775.454245516993	911.34027693118	1080.34334132942	849.528701647996	807.479165462893	1073.67925277422	891.143533164823	912.22498451806	1075.49777788173	904.471202140424	892.438498289972	1054.30197918978	849.885491157088
ecd	212.577157310475	231.689008295761	252.515123828859	265.088651981703	230.969955732496	267.593480974511	259.725257344766	321.258359097799	258.85597868121	352.558356234883	373.101054967399	355.963621593727	302.103533099887	294.940428416348	302.077163523606
ed	1632.65041226889	1311.34643312068	1020.80581973369	1563.86618950153	1612.31930388749	1267.03901232509	828.290484160391	1075.98493477732	850.122640368347	1267.94529910483	1184.25598013944	986.990041691697	1386.43942869055	1369.05183936544	1092.4863219662
Edg78E	0	0.66769166655839	0.596962467680518	0	0	1.6120089215332	2.49735824369967	0.768560667698083	1.41451354470607	1.58097917594118	0	0	0.770672278316038	0	0.782583325190689
Edg84A	0.723051555477807	0	0	0	0	0	0	0	0	0	0	0	0	0	0
eEF1alpha2	6.50746399930027	12.018449998051	1.19392493536104	36.0771538199951	35.7630899198704	35.4641962737304	12.4867912184984	50.7250040680735	11.3161083576485	25.2956668150589	31.7211423251634	33.978345697583	30.0562188543255	33.0157195988449	33.6510829831996
eEF2	77973.8797427267	79334.4561288014	73090.8906178673	73484.4566156143	71511.2785522742	71595.7642409755	50461.6206721955	60391.9601463799	49943.6442364819	81240.1959349134	80668.3754634776	78768.2773928446	75706.2205880977	74391.0194001173	72855.3772419524
eg	0	0	0	0	0	0	0	0	0	7.9048958797059	0	0	3.85336139158019	0	0
egl	725.220710144241	608.934799901252	528.311783897259	905.065989310311	905.99827797005	865.648790863328	541.094286134928	707.075814282236	601.168256500079	682.983004006589	767.349538151573	702.219144416715	777.608328820883	818.789846051354	759.888408760159
Eh	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MsrA	351.403055962214	351.873508276272	321.762770079799	839.18596929119	1044.58025140955	1099.39008448564	268.049784823765	186.760242250634	250.368897412974	256.118626502471	320.23248442546	351.109572208358	537.158577986279	669.852266527676	703.542409346429
Eip55E	1849.56587891223	2056.49033299984	1904.31027190085	1824.24912576758	1421.58282431485	1442.74798477221	1888.00283223695	1333.45275845617	1724.99926776905	1509.83511302383	1403.28291524175	1355.89779497974	1632.28388547337	1381.52444454722	1356.21690255546
Eip74EF	305.850807967112	261.735133290889	213.712563429626	302.734377706915	347.199997972075	298.221650483642	198.956206748074	225.956836303236	239.760045827679	324.100731067942	308.148239730159	291.24296312214	306.727566769783	320.619321437672	285.642913694601
emc	287.051467524689	262.402824957447	242.963724345971	230.580070066925	239.910728212464	248.249373916113	231.421863916169	246.707974331085	260.270492225917	203.946313696412	240.174363319095	199.016024800129	212.705548815227	234.778450480675	216.775581077821
ems	0	0.66769166655839	0	0	0	4.8360267645996	0.83245274789989	0	2.1217703170591	1.58097917594118	0	1.61801646178967	0.770672278316038	0	3.13033330076275
en	1.44610311095561	0	0	0	0	0	3.32981099159956	1.53712133539617	1.41451354470607	0	0	1.61801646178967	0	0	0.782583325190689
ena	94.7197537675928	67.4368583223974	87.1565202813557	170.974337668672	172.854934612707	145.080802937988	115.710931958085	155.249254875013	105.381259080602	83.7918963248825	110.268732844616	129.441316943173	124.848909087198	138.666022315149	133.039165282417
Eno	5009.30117635025	5213.33653248791	5515.33623890031	5816.2646245453	5760.83773459246	5964.43300967283	4245.50901428944	4311.62534578624	4066.01918425759	3905.01856457471	3845.81087427934	3926.92595276352	4761.21333543649	4704.37320150652	4794.88803344335
E(Pc)	885.015103904836	888.697608189217	822.614280463754	1113.6860527042	1044.58025140955	830.184594589597	427.048259672644	751.652333008725	611.777108085374	845.823859128531	865.534026300888	627.790387174391	959.486986503468	934.711705976187	706.672742647192
esc	8.67661866573369	3.33845833279195	9.55139948288829	15.6857190521718	17.8815449599352	11.2840624507324	93.2347077647877	132.19243484407	114.575597121192	109.087563139941	74.0159987587147	56.6305761626383	60.883109986967	44.7546421228786	32.8684996580089
E(spl)m8-HLH	0	0	0	0	0	0	1.66490549579978	0	0.707256772353034	0	0	0	0	0	0
eve	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
exu	17.3532373314674	14.6892166642846	13.1331742889714	0	2.98025749332253	0	38.2928264033949	0	4.2435406341182	0	0	4.854049385369	0	1.46736531550422	2.34774997557207
eyg	458.41468617293	766.510033209032	608.304754566448	277.63722722344	321.867809278834	238.577320386913	303.84525298346	413.485639221568	382.625913842991	243.470793094942	287.000811513384	203.870074185498	255.092524122609	297.875159047356	214.427831102249
E(z)	259.575508416533	231.689008295761	257.290823570303	265.088651981703	262.262659412383	301.445668326708	285.531292529662	256.69926301116	263.806776087682	249.794709798706	208.453220993931	249.174535115609	252.009835009345	230.376354534162	266.860913890025
Fbp1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fbp2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fj	0	0	0	1.56857190521718	0	0	1.66490549579978	1.53712133539617	0	3.16195835188236	0	0	2.31201683494811	0	0
fl(2)d	407.078025734006	466.716474924315	451.303625566472	374.888685346905	393.393989118574	356.253971658837	407.069393723046	486.498902652886	398.892819607111	314.614856012295	406.332727879475	334.929407590461	337.554457902425	391.052856581874	334.945663181615
FMRFa	0	0	0	0	1.49012874666127	0	0	0	0	0	0	0	0	0.733682657752109	0
for	1626.14294826959	1957.00427468264	1449.4248715283	2434.42359689706	2704.5836751902	2429.29744475053	1708.19303869057	2649.22862155529	1947.0778942879	2516.91884809836	3120.75619256132	2559.70204255125	2422.99364302562	2847.42239473594	2417.39989151404
FER	340.557282630047	356.54734994218	228.636625121639	230.580070066925	283.124461865641	277.26553450371	298.85053649606	318.952677094704	278.659168307095	267.185480734059	350.44309616371	338.16544051404	243.532439947868	309.61408157139	298.164246897652
dup	80.9817742135144	92.8091416516162	68.0537213155791	103.525745744334	107.289269759611	78.9884371551267	99.8943297479868	90.6901587883738	119.526394527663	79.048958797059	74.0159987587147	61.4846255480073	89.3979842846605	88.7756015880052	68.0847492915899
ft	93.2736506566371	97.482983317525	74.0233459923843	73.7228795452073	74.5064373330633	16.120089215332	27.4709406806964	48.4193220649792	38.1918657070638	39.5244793985295	25.6790199775133	9.708098770738	55.4884040387548	49.1567380693913	12.521333203051
