P_mel_1	P_mel_2	P_mel_3	P_sim_1	P_sim_2	P_sim_3	F1_1	F1_2	F1_3
lz	0	0	0	0	0	0	0	0.975721582763125	0
RpL36	2927.17414247625	3257.5697770578	3739.87072792629	3971.18534082385	2034.62547861101	3345.20186476161	8631.55024041354	8238.99304485183	10419.1991517964
mal	251.457806769524	239.637316932988	209.19368226985	149.13128449182	197.403624725948	177.014949315977	166.948533001752	189.289987056046	158.094784817719
mei-218	86.2141051781225	66.4619121181334	70.8696964424388	64.3976001214678	71.3389336880903	98.9761006928043	83.9927402058501	77.0820050382869	62.3775341457668
Met	360.251796637155	254.6146492413	238.224642258319	168.337586282434	256.038364743557	190.33865517847	243.68264133796	188.314265473283	208.642096970323
mud	9.23722555479884	12.1690825005033	5.1231105862004	4.51912983308546	2.93173700088042	3.8067731035694	2.07389481989753	2.92716474828938	0
mus101	64.6605788835919	63.6536623103249	48.6695505689038	117.497375660222	91.8610926942532	105.637953624051	74.6602135163112	91.7178287797338	83.8870286787898
Myb	503.941971934025	446.511719441544	452.541435114368	399.942990228063	443.669532799904	487.266957256883	452.109070737662	481.030740302221	489.341000626274
na	0	0	0	0	0	0	0	0.975721582763125	1.07547472665115
nod	36.9489022191953	39.3154973093183	44.4002917470701	4.51912983308546	3.90898266784056	13.3237058624929	18.6650533790778	8.78149424486813	6.45284835990691
otu	12.3163007397318	10.2969159619643	11.9539247011343	160.429109074534	126.064691037858	212.227600523994	135.840110703289	113.183703600523	97.8682001252548
pcx	928.854347454772	908.936854460669	632.704157395749	532.127537845813	698.7306518765	497.735583291698	546.471285043	590.311557571691	343.076437801717
peb	8.21086715982119	0.936083269269484	0	1.12978245827137	5.86347400176084	6.66185293124644	6.2216844596926	6.83005107934188	4.30189890660461
per	215.535262945306	239.637316932988	269.817157539888	488.06602197323	640.095911858892	493.928810188129	646.018236398082	763.014277720764	713.039743769713
Raf	169.349135171312	158.198072506543	146.008651706711	155.909979241448	189.585659390267	183.676802247223	139.987900343084	176.605606480126	196.811874977161
pn	145.742892086826	136.668157313345	145.154799942345	181.89497578169	225.743749067792	182.725108971331	153.468216672418	129.770970507496	145.189088097905
PpV	474.177578479674	435.27872021031	420.095068068433	528.738190470999	523.803677490635	540.561780706854	423.074543259097	440.05043382617	338.774538895113
CG2841	1092.04533225622	989.440015617845	961.437086676941	1100.40811435631	1302.66847405787	1150.59717055385	844.075191698297	858.63499283155	757.134207562411
r	755.399778703549	684.276869835993	892.275093763236	650.754695964307	816.000131911717	780.388486231726	1307.5906839454	1064.51224679457	915.22899238013
ras	1397.90013395956	1317.06915986216	1494.24058764178	1125.26332843828	1079.85646199096	1124.90145210476	1818.80575705014	1683.11973026639	1810.02396495389
rb	606.57781143179	564.458211369499	443.149065706334	511.791453596929	558.00727583424	528.189768120254	417.889806209353	372.725644615514	365.661407061392
rdgB	102.635839497765	108.58565923526	76.846658793006	146.871719575278	172.972483051945	181.773415695439	177.318007101239	196.120038135388	159.17025954437
RpII215	1153.62683595488	1152.31850447073	953.752420797641	954.666177239304	1297.78224572307	1100.15742693156	1134.42046648395	1082.07523528431	1008.79529359878
rst	4.10543357991059	16.8494988468507	8.53851764366733	31.6339088315982	56.6802486836881	30.4541848285552	54.9582127272847	49.7618007209194	49.471837425953
run	0	0	0	0	0.97724566696014	0	0	0.975721582763125	3.22642417995345
rut	203.218962205574	219.979568278329	222.855310499717	312.949740941168	441.715041465983	363.546831390877	496.697809365459	472.249246057353	368.887831241345
rux	87.2404635731001	101.096993081104	74.2851034999058	56.4891229135683	66.4527053532895	76.1354620713879	77.7710557461575	89.7663856142076	80.6606044988364
sbr	935.012497824638	886.470855998202	811.159176148396	700.465124128247	735.865987220986	742.320755196032	1023.46709361943	1027.43482664957	998.040546332269
sd	1435.87539457373	1289.92274505335	974.244863142442	1003.24682294497	1135.55946500768	1091.59218744852	930.141826724044	948.401378445758	752.832308655806
sesB	2906.6469745767	3207.02128051725	3266.83685046712	3977.96403557348	3147.70829327861	3438.46780579906	3974.61942233362	4117.54507926039	4378.25761219684
sev	176.533643936156	199.3857363544	179.308870517014	106.199551077508	167.109009050184	197.952201385609	218.79590349919	205.877253963019	191.434501343905
sgg	2472.49737350116	2422.58350086943	2085.10600858356	2023.44038276402	2242.77880567352	1984.28048023555	1589.64037945146	1605.06200364534	1466.94752715217
shf	9.23722555479884	18.7216653853897	26.4694046953687	7.90847720789956	9.7724566696014	11.4203193107082	5.18473704974384	4.87860791381563	10.7547472665115
shi	565.523475632684	554.161295407535	533.657352729208	645.10578367295	741.729461222747	699.494557780876	640.833499348338	643.976244623663	640.982937084086
sisA	0	4.68041634634742	4.26925882183366	0	3.90898266784056	1.9033865517847	1.03694740994877	0.975721582763125	0
sl	353.067287872311	386.602390208297	322.755966930625	408.981249894234	484.71385081223	453.95769260065	411.668121749661	420.536002170907	372.114255421298
slgA	714.345442904443	856.516191381578	694.181484430154	1147.85897760371	943.042068616535	964.065288478949	778.747504871524	870.343651824708	841.021236241201
sn	33.8698270342624	38.3794140400489	29.0309599884689	241.773446070072	272.651541081879	224.599613110594	734.158766243727	802.043141031289	798.002247175154
snf	571.68162600255	651.513955411561	724.920147947356	453.042765766818	356.694668440451	482.508490877421	524.695389434076	546.40408634735	708.737844863109
sog	302.775726518406	374.433307707794	293.725006942156	122.016505493308	372.330599111813	163.691243453484	438.628754408329	396.142962601829	326.94431690195
sol	403.358849226216	415.620971555651	344.95611280416	486.936239514959	547.257573497679	516.769448809545	693.717817255725	719.106806496423	631.303664544226
sqh	1290.1325024869	1174.7845029332	1279.06994302137	1902.55365972898	1656.43140549744	1741.598694883	1337.66215883391	1326.00563097509	1479.85322387198
sta	14442.9153341255	15323.6831179415	18015.4183763737	14479.2919852058	10150.650742715	13470.2666269803	20587.5538771228	19889.1087430436	19922.0938364859
su(sable)	2234.38222586634	2339.27208990444	1958.73594745729	2180.48014446374	2495.8854334162	2469.64405094064	2052.11892428861	1893.87559214323	1480.92869859864
su(w[a])	35014.2166446625	32320.1470380675	33951.7077065144	28694.2148751761	20786.0153362422	27946.4730465788	24895.03341805	25037.9915352846	25974.8655980786
swa	0	0	2.5615552931002	74.5656422459101	30.2946156757644	40.922810863371	76.7341083362088	69.2762323761819	57.000160512511
sws	682.528332660136	626.239707141285	527.680390378641	973.872479029917	1107.21934066584	1011.64995227357	792.227821200858	944.498492114706	787.247499908643
tko	227.851563685038	214.363068662712	251.03241872382	232.735186403901	143.655113043141	204.614054316855	210.5003242196	200.022924466441	247.359187129765
tsg	0	0	0	0	0	0	0	0	0
unc	0	1.87216653853897	0	2.25956491654273	0	1.9033865517847	0	0	0
usp	804.664981662477	735.761449645815	637.82726798195	689.167299545533	728.048021885305	592.904910880933	575.505812521566	631.291864047742	684.001926150132
v	2.0527167899553	0.936083269269484	4.26925882183366	7.90847720789956	0.97724566696014	1.9033865517847	3.1108422298463	0	3.22642417995345
vap	914.485329925085	849.027525227422	808.597620855296	181.89497578169	174.926974385865	225.551306386487	159.68990113211	133.673856838548	168.849532084231
y	0	0.936083269269484	0	3.3893473748141	0	0	0	0	0
Yp1	0	0	0.853851764366733	0	0.97724566696014	2.85507982767705	2.07389481989753	2.92716474828938	2.1509494533023
Yp3	0	0	0	0	0	0	1.03694740994877	0.975721582763125	0
z	468.019428109808	446.511719441544	425.218178654633	462.081025432989	506.213255485353	465.378011911358	432.407069948636	437.12326907788	350.604760888275
Zw	240.16786442477	190.024903661705	262.986343424954	852.985755994881	667.458790533776	728.045356057647	551.656022092744	522.011046778272	518.378818245855
Prosalpha4	1120.78336731559	1074.62359312137	1121.96121837789	1356.86873238391	953.791770953097	1224.82924607345	1021.39319879954	1078.17234895325	1066.87092883794
oc	0	0.936083269269484	0	0	0	0	0	2.92716474828938	1.07547472665115
nullo	0	0	0	1.12978245827137	0	0	0	0	0
sc	0	0	0	0	0	0	0	0	0
nonA	635.315846491165	836.858442726919	780.420512631194	695.945994295161	686.026458206019	749.934301403171	698.902554305469	653.733460451294	595.812998564738
mei-41	108.793989867631	107.649575965991	80.2620658504729	61.0082527466538	50.8167746819273	59.0049831053256	42.5148438078995	49.7618007209194	30.1132923462322
Ptp4E	204.245320600552	234.956900586641	176.747315223914	273.407354901671	357.671914107411	347.368045700707	413.742016569558	377.60425252933	355.982134521531
Ptp10D	442.360468235367	473.658134250359	427.779733947733	735.488380334659	1082.78819899184	933.611103650394	821.262348679424	838.144839593525	667.869805250365
shtd	537.811798968288	518.590131175294	428.6335857121	550.204057178155	657.686333864174	619.552322605919	560.988548782283	560.064188506034	382.86900268781
Vinc	633.263129701209	695.509869067227	648.07348915435	640.586653839864	914.701944274691	756.596154334417	603.503392590182	709.349590668792	730.247339396132
Cyp1	4009.98224917767	3805.17848958045	4434.90606412081	3507.97453293259	2288.70935202065	2962.62116785288	4046.16879362009	3991.67699508395	4621.31490042
mew	483.414804034472	552.289128868996	461.933804522403	419.149292018677	621.528244186649	501.542356395268	385.744436500941	291.740753246175	334.472639988508
Fur2	76.9768796233236	79.5670778879062	81.9697693792064	425.927986768305	467.123428806947	367.353604494447	275.828011046372	351.259769794725	378.567103781205
Zw10	1238.81458273802	1239.3742485128	1101.46877603309	1421.26633250538	1284.10080638562	1303.81978797252	1153.08551986303	1110.37116118444	1131.39941243701
ogre	2114.29829365396	1899.31295334778	1724.7805640208	2952.12156346308	2588.72377177741	2513.42194163169	2006.49323825086	1986.56914250572	1961.6659014117
N	42.0806941940836	29.9546646166235	22.2001458735351	80.214554537267	67.4299510202497	107.541340175835	83.9927402058501	77.0820050382869	75.2832308655806
svr	3899.13554252009	3388.62143475553	2872.35733532969	4133.87401481493	4717.1648344166	4371.12721617356	3625.16814518089	3618.95135046843	3081.23509185555
yl	0	0	0	2.25956491654273	0	0	1.03694740994877	0	0
fs(1)N	1.02635839497765	0.936083269269484	0	5.64891229135683	10.7497023365615	5.71015965535409	7.25863186964137	2.92716474828938	6.45284835990691
Pgd	1404.05828432942	1420.97440275108	1462.64807236021	1612.19956795324	1511.79904678734	1564.58374556702	1080.49920116662	1110.37116118444	961.47440562613
wapl	626.078620936366	483.955050212323	406.433439838565	402.202555144606	689.935440873859	465.378011911358	500.845599005255	583.481506492349	461.378657733344
fs(1)h	1784.83724886613	1912.41811911756	1494.24058764178	1351.21982009255	2284.80036935281	1562.68035901524	2281.28430188729	2217.81515762058	1760.55212752793
mys	2123.53551920875	2095.89043989438	1623.17220406116	2001.97451605686	3096.89151859668	2210.78347989793	1530.53437708438	1589.45045832113	1517.49483930477
Mlc-c	1765.33643936156	1823.49020853696	1805.04262987127	3546.38713651382	2969.84958189187	3315.69937320894	2958.41096058383	2927.16474828938	3009.17828516992
Xpac	97.5040475228766	117.010408658686	118.685395246976	85.8634668286238	47.8850376810469	111.348113279405	57.0321075471822	45.8589143898669	31.1887670728834
B-H2	26.6853182694189	27.146414808815	15.3693317586012	3.3893473748141	7.81796533568112	14.2753991383852	17.628105969129	10.7329374103944	18.2830703530696
Bx42	440.307751445411	424.981804248346	458.518397464936	407.851467435963	520.871940489755	438.730600186373	542.323495403205	537.622592102482	508.699545705995
hop	932.959781034683	948.252351769988	729.18940676919	718.541643460589	697.75340620954	851.765481923652	553.729916912642	652.757738868531	449.548435740181
Top1	2559.73783707426	2263.44934509361	2033.02105095719	2352.20707812098	2738.24235882231	2613.34973560039	1971.23702631261	1894.85131372599	1603.53281743687
upd1	2.0527167899553	0.936083269269484	0	0	0	0	0	0	0
por	102.635839497765	96.4165767347569	93.9236940803406	61.0082527466538	75.2479163559308	60.9083696571103	89.177477255594	73.1791187072344	90.3398770386967
phm	1.02635839497765	0	1.70770352873347	0	0	0	0	0	0
fs(1)M3	0	1.87216653853897	1.70770352873347	2.25956491654273	0	1.9033865517847	0	0	0
Yp2	0	1.87216653853897	0	1.12978245827137	6.84071966872098	4.75846637946174	3.1108422298463	0	4.30189890660461
U2af50	872.404635731001	792.862529071253	939.236940803406	616.861222216166	630.32345518929	565.305805880055	1179.00920511175	1193.3074957193	1313.15464124106
ewg	535.759082178333	459.616885211317	403.871884545465	275.666919818213	423.147373793741	323.575713803399	386.78138391089	446.880484905511	513.001444612599
Cyp4d1	0	0.936083269269484	0.853851764366733	0	0	0	0	1.95144316552625	0
betaCOP	13961.553246881	12467.6930634003	10588.6157299119	11016.5087506041	10900.1981692734	11570.6868482992	8546.52055279774	7707.22478224593	6218.39486949696
Cyp4g1	372.568097376886	127.30732462065	879.467317297735	680.129039879362	1717.02063684897	1625.49211522413	988.210881681175	181.484214393941	124.755068291534
Wnt5	27.7116766643965	36.5072475015099	30.7386635172024	51.9699930804828	31.2718613427245	31.4058781044475	34.2192645283093	25.3687611518413	34.4151912528368
Lcch3	0	0	0	3.3893473748141	0	0	0	0	0
Dsor1	422.859658730791	417.49313809419	421.802771597166	514.051018513471	441.715041465983	502.49404967116	564.099391012129	536.646870519719	553.869484225343
bys	374.620814166842	339.798226744823	518.288020970607	597.654920425553	460.282709138226	537.706700879177	594.170865900644	552.258415843929	451.699385193484
ng4	0	0	0	0	0	0.951693275892349	0	0	0
hep	947.32879856437	875.237856766968	749.681849113992	758.084029500086	964.541473289658	851.765481923652	761.119398902395	675.199335272083	620.548917277714
CycD	410.543357991059	480.210717135245	561.83446095331	460.951242974717	386.989284116216	437.77890691048	398.187805420327	382.482860443145	383.944477414461
Tbh	0	0	0	7.90847720789956	23.4538960070434	19.033865517847	8.29557927959014	28.2959259001306	8.60379781320921
Cdc42	1100.25619941604	1210.35566716544	1202.22328422836	1491.3128449182	1445.34634143405	1421.82975418317	1167.60278360231	1155.25435399154	1074.3992519245
AP-1-2beta	1902.86846428856	1796.34379372814	1666.71864404386	2027.9595125971	2115.7368689687	2030.91345075427	1438.24605759894	1352.35011370969	1203.45621912264
Cyp18a1	3.07907518493295	0	0	1.12978245827137	4.8862283348007	4.75846637946174	3.1108422298463	5.85432949657875	3.22642417995345
SrpRalpha	9296.75434170754	8484.6587526586	8184.16916145514	6978.66624474223	6356.98306357571	6498.16168779296	4884.02230085869	4644.43473395248	4234.14399882558
RpS19a	1486.16695592764	1589.46939121958	2292.59198732468	1420.13655004711	551.166556165519	1178.19627555473	4079.35111073845	4001.43421091158	3258.68842175299
TH1	995.567643128319	920.169853691903	934.113830217206	576.189053718397	594.165365511765	636.682801571981	565.136338422078	515.18099569893	502.246697346088
HLH3B	0	0	0	0	0	1.9033865517847	0	1.95144316552625	0
HLH4C	0	0	0	0	4.8862283348007	3.8067731035694	3.1108422298463	0	0
Obp19d	0	14.0412490390423	0	106.199551077508	72.3161793550504	131.333672073144	238.497904288216	236.124623028676	337.699064168462
Smyd3	185.770869490954	203.130069431478	163.085686994046	144.612154658735	157.336552380583	161.787856901699	219.832850909139	171.72699856631	248.434661856416
Cyp4d2	117.004857027452	124.499074812841	135.762430534311	3002.96177408529	2849.64836485577	2433.47970645674	2280.24735447734	2190.49495330322	2330.55373265305
e(r)	1040.72741250734	1034.37201254278	1156.96914071692	550.204057178155	440.737795799023	553.885486569347	517.436757564435	636.170471961558	651.737684350598
Klp3A	68.7660124635025	77.6949113493672	87.0928799654068	99.4208563278802	70.3616880211301	118.009966210651	121.322846964006	99.5236014418388	67.7549077790225
Moe	5579.2842350985	5308.52822002724	4919.89386628112	5008.32563751696	5092.42717052929	5052.53960171248	4544.94049780545	4279.51486199907	4466.44653978223
Sep1	469.045786504785	394.091056362453	505.480244505106	355.88147435548	289.264717420202	320.720633975722	272.717168816526	249.78472518736	308.661246548881
Arp6	337.671911947646	344.47864309117	357.763889269661	394.294077936707	309.786876426364	413.034881737279	433.444017358585	500.545171957483	466.7560313666
Arp2	1325.02868791614	1391.01973813445	1253.45439009036	1199.82897068419	1319.28165039619	1215.31231331453	1019.31930397964	915.226844631812	1041.05953539831
PhKgamma	625.052262541388	634.66445656471	583.180755062479	350.232562064123	378.194073113574	355.933285183738	384.707489090993	445.904763322748	459.227708280042
B-H1	16.4217343196424	11.2329992312338	13.6616282298677	5.64891229135683	0	1.9033865517847	9.3325266895389	3.9028863310525	3.22642417995345
dhd	0	0	0	0	0	0	0	0	0
Gip	777.979663393058	773.204780416594	711.258519717489	1022.45312473559	563.870749836001	823.214683646882	270.643273996628	294.667917994464	314.038620182136
Pgcl	0	0	0	1.12978245827137	0	0	0	0	0
Tis11	1175.18036224941	966.974017155377	686.496818550853	771.641418999343	1101.35586666408	797.518965197788	1051.46467368805	1163.06012665365	1106.66349372403
bcn92	136.505666532027	152.581572890926	145.154799942345	170.597151198976	107.497023365615	143.705684659745	179.391901921137	130.746692090259	174.226905717487
pck	799.533189687588	772.268697147324	912.767536108038	1057.476380942	911.770207273811	1095.39896055209	959.17635420261	954.255707942337	931.361113279897
MAPk-Ak2	1214.18198125856	1139.21333870096	1218.44646775133	2212.11405329533	2093.26021862862	1963.34322816592	1933.90691955445	1936.8073417848	2162.77967529547
Rnp4F	598.366944271969	550.416962330457	534.511204493575	772.771201457614	752.479163559308	674.750532607675	660.535500137365	701.543818006687	731.322814122783
RpL7A	2210.77598278185	2311.18959182636	2438.60063903139	1265.35635326393	941.087577282615	950.741582616456	3122.24865135574	2974.97510584477	3360.85852078485
Spat	533.706365388377	545.736545984109	625.873343280815	302.781698816726	332.263526766448	292.169835698951	340.118750463196	321.012400729068	428.038941207158
Sptr	326.381969602892	350.095142706787	338.979150453593	331.02626027351	252.129382075716	275.039356732889	206.352534579805	206.852975545783	230.151591503346
bif	1467.69250481804	1384.46715524957	1122.81507014225	1380.59416400761	1540.13917112918	1328.56381314572	740.38045070342	709.349590668792	667.869805250365
mof	327.40832799787	307.035312320391	225.416865792818	257.590400485871	251.152136408756	240.778398800764	239.534851698165	241.978952525255	276.397004749346
sun	62.6078620936366	95.4804934654874	100.754508195274	105.069768619237	77.2024076898511	103.734567072266	121.322846964006	132.698135255785	173.151430990835
tilB	11.2899423447541	8.42474942342536	10.2462211724008	233.864968862173	212.06230973035	216.986066903456	290.345274785655	300.522247491043	366.736881788043
Vps26	1264.47354261246	1254.35158082111	1086.09944427448	1582.82522403818	1809.85897521018	1629.2988883277	1255.74331344796	1327.95707414061	1252.92805654859
Ahcy	1167.99585348456	1442.50431794428	1508.75606763602	804.405110289212	754.433654893228	918.384011236117	1080.49920116662	1021.58049715299	1228.19213783562
Cp7Fa	2.0527167899553	0	0	0	5.86347400176084	0	0	0	0
Cp7Fb	0	0	0	2.25956491654273	0	1.9033865517847	0	0.975721582763125	0
Cp7Fc	0	0	0	2.25956491654273	0	1.9033865517847	1.03694740994877	1.95144316552625	1.07547472665115
Ost48	12066.8956497522	10715.3451833278	10067.7661536481	11013.1194032293	9279.92485345349	10507.6454591274	8774.64898298647	8318.02649305565	8613.47708574907
CG14630	14.3690175296871	25.2742482702761	35.8617741034028	53.0997755387542	35.1808440105651	57.1015965535409	22.8128430188729	16.5872669069731	21.509494533023
Ag5r	1.02635839497765	1.87216653853897	2.5615552931002	0	0	0	0	0	0
